dedup,empate,ventana_r2,filas_29jul,emision_parcial,corte,objetivo,zona_muerta,n,dias,modelo_pct,modelo_lo,modelo_hi,base_pct,base_lo,base_hi,ventaja_pp,ventaja_lo,ventaja_hi,p_dia,b,c,p_exacto,p_chi2,mae,mae_lo,mae_hi,mae_cero,mae_cero_lo,mae_cero_hi,dmae,dmae_lo,dmae_hi,dmae_bloque_lo,dmae_bloque_hi,n_cobertura,cobertura_pct,cobertura_lo,cobertura_hi,cobertura_dia_lo,cobertura_dia_hi
first,estricta,dentro,dentro,dentro,publicado,gap,0.0,238,34,64.70588235294117,58.44486155596158,70.49972070935601,56.72268907563025,50.37058378868592,62.861225246887834,7.983193277310924,-9.76616522606383,25.571041733035994,0.4118970257435641,75,56,0.11545448829226432,0.11579587487387692,2.7572218487394964,2.0261575108225105,3.9084089993235933,2.9538890756302525,2.2642204895833333,3.904113339696653,-0.19666722689075627,-0.6754792703616668,0.27855678440677956,-0.6458861554621849,0.11044214285714281,238,92.43697478991596,88.36303298133772,95.16276155572166,85.12396694214877,97.59036144578313
first,estricta,dentro,dentro,dentro,publicado,gap,0.25,184,31,68.47826086956522,61.44556859754271,74.75517240336171,56.52173913043478,49.29792826899992,63.478803848966336,11.956521739130435,-7.654042386185243,31.47231622485429,0.26943264183954013,66,44,0.04476209415697297,0.045255546185962066,3.0007385869565213,2.0617143369314443,4.413459327142651,3.263729891304348,2.3835895914248852,4.426780345251396,-0.2629913043478261,-0.8900240805181979,0.34772090050505033,-0.8224835326086956,0.08890853260869558,184,90.76086956521739,85.70310893122134,94.15146680606782,81.87126470021207,97.23756906077348
first,estricta,dentro,dentro,dentro,publicado,retorno_sesion,0.0,238,34,58.8235294117647,52.47906235706843,64.88768700212214,52.94117647058823,46.60356930348078,59.185347149582746,5.882352941176471,-13.502671716123677,25.106429031960943,0.588352911772057,71,57,0.25043988061926187,0.25053597441363795,3.7445600840336133,2.8715735105686497,4.976734317187071,3.7448340336134454,2.863565214359504,4.857488153357295,-0.00027394957983189886,-0.4299920354107363,0.4493875664638054,-0.3693160084033614,0.27496978991596643,0,,,,,
first,estricta,dentro,dentro,dentro,publicado,retorno_sesion,0.25,184,31,62.5,55.31643243060997,69.17230412882536,53.80434782608695,46.59658086930569,60.856512866174626,8.695652173913043,-12.683533216547636,29.808114035087712,0.47963009247688076,62,46,0.14857634761056424,0.14891467317876567,4.202392391304348,3.153536496764551,5.666646400205511,4.198561956521739,3.1172488845755693,5.49666369536558,0.0038304347826087644,-0.5441862318771914,0.5581721535714286,-0.47921967391304326,0.31703730978260874,0,,,,,
first,estricta,dentro,dentro,dentro,vivo,gap,0.0,246,35,64.22764227642277,58.06124535849477,69.95652252135001,56.50406504065041,50.256009968218194,62.55211249113941,7.723577235772358,-9.486166007905137,25.0,0.416895776055986,75,56,0.11545448829226432,0.11579587487387692,2.7171556910569112,2.010612850150602,3.8309398516949145,2.9047036585365857,2.2459903734434494,3.8482334219687866,-0.18754796747967478,-0.6531690870858464,0.2744816342583544,-0.6154218902439024,0.13010540650406502,246,92.6829268292683,88.73151547662576,95.32178816290853,85.52541279669764,97.87234042553192
first,estricta,dentro,dentro,dentro,vivo,gap,0.25,191,32,68.06282722513089,61.15050261080065,74.26290499640596,56.544502617801044,49.45402454209089,63.37692024312891,11.518324607329843,-7.476885401569293,31.18811881188119,0.2794301424643839,66,44,0.04476209415697297,0.045255546185962066,2.9530753926701565,2.0369994311312607,4.375652525150324,3.204124607329842,2.353906164092664,4.357408788271314,-0.2510492146596858,-0.8433821742532005,0.3513766434501196,-0.8061063350785339,0.08718717277486894,191,91.09947643979058,86.20960305820347,94.36873019297674,82.35294117647058,97.36842105263158
first,estricta,dentro,dentro,dentro,vivo,retorno_sesion,0.0,246,35,58.94308943089431,52.704096595643016,64.9070717859737,52.84552845528455,46.61175397410618,58.99179960186277,6.097560975609756,-12.295244600572468,24.68123869411663,0.5448637840539865,72,57,0.21756125383945865,0.21771336531423785,3.6894890243902436,2.8481345284661064,4.909550737903225,3.6671044715447154,2.8143347451305427,4.771960024509804,0.022384552845528486,-0.3903539955778303,0.45375024152891147,-0.35535934959349597,0.27700808943089433,0,,,,,
first,estricta,dentro,dentro,dentro,vivo,retorno_sesion,0.25,191,32,62.82722513089005,55.783927628384774,69.36472415064598,53.92670157068063,46.84988762750418,60.84867924362768,8.900523560209423,-12.316528947507813,29.411764705882355,0.4371407148212947,63,46,0.12500454132582678,0.12539365903717864,4.132260732984293,3.135920545789537,5.589140104334171,4.1006031413612565,3.0695664518716574,5.393837328213199,0.03165759162303674,-0.500442101469891,0.581279874348855,-0.4439052879581151,0.34846876963350776,0,,,,,
first,estricta,dentro,dentro,fuera,publicado,gap,0.0,219,29,62.10045662100457,55.518813905981666,68.26491120535213,55.25114155251141,48.63151769493061,61.68972150432745,6.8493150684931505,-11.946902654867257,25.862447065940707,0.5218695326168458,71,56,0.2139651540354227,0.2141262224436981,2.846607762557077,2.0518211590644406,4.117608405806289,2.9678315068493144,2.2399494817582233,4.020547994565217,-0.12122374429223745,-0.6279442562666613,0.3922316609010458,-0.5917683105022831,0.19745070776255705,219,91.78082191780823,87.38323895218589,94.7379251114761,83.62812786084834,97.36842105263158
first,estricta,dentro,dentro,fuera,publicado,gap,0.25,167,26,65.26946107784431,57.778459789800976,72.07377886002632,54.49101796407186,46.922071620387676,61.85799857073798,10.778443113772456,-10.0,32.052469135802454,0.3751562109472632,62,44,0.09824250442244355,0.09870060785215035,3.1376239520958085,2.1049255534709186,4.750074227881531,3.2990706586826346,2.3513672932436225,4.607785588499471,-0.1614467065868264,-0.8270160664635642,0.49776464972677587,-0.7291849700598803,0.17608999999999997,167,89.82035928143712,84.30317145635617,93.54678423829142,79.65090168500208,96.97015334063526
first,estricta,dentro,dentro,fuera,publicado,retorno_sesion,0.0,219,29,61.18721461187214,54.59311004218738,67.39561694753633,53.881278538812786,47.2690588766734,60.359683140169516,7.30593607305936,-13.235461993016385,28.02019804577348,0.5333666583354162,70,54,0.17773167761167682,0.17796742596806478,3.6845429223744297,2.7397760157774886,5.042611745915033,3.8285949771689487,2.8757850666055544,5.030619936117468,-0.14405205479452052,-0.586826239494084,0.3210523802631576,-0.5601491095890411,0.14550269406392677,0,,,,,
first,estricta,dentro,dentro,fuera,publicado,retorno_sesion,0.25,167,26,65.86826347305389,58.392523874255986,72.6303908010547,55.08982035928144,47.51585710332637,62.43488911328272,10.778443113772456,-12.422360248447205,34.54545454545455,0.4226443389152712,61,43,0.095043674799412,0.09551696030594413,4.178935329341318,3.0314717797221378,5.850290033776724,4.369877844311377,3.200181461492689,5.8149796739248085,-0.19094251497005982,-0.7802876098610693,0.4154687857889238,-0.7023160778443114,0.0903384730538923,0,,,,,
first,estricta,dentro,dentro,fuera,vivo,gap,0.0,227,30,61.67400881057269,55.20497889835501,67.75450172127134,55.06607929515418,48.56439197812127,61.39915621530147,6.607929515418502,-11.206993196226998,25.0,0.5111222194451387,71,56,0.2139651540354227,0.2141262224436981,2.8000378854625545,2.0372075345942267,3.9959305211319935,2.914037885462555,2.206564355953171,3.907060366086425,-0.114,-0.5976899545454546,0.37024105629539933,-0.5650678193832599,0.2003825330396474,227,92.0704845814978,87.81519305074303,94.92557672941983,84.44444444444444,97.43589743589743
