id,fecha,par,spread_20d_pct,z_score,explicacion,spread_simple_pct,z_simple
1,2026-07-05,SK Hynix vs Micron,19.07,1.54,SK Hynix le saca 19.1 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.5).,4.46,0.43
2,2026-07-05,SK Hynix vs Samsung Electronics,19.72,1.81,SK Hynix le saca 19.7 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+1.8).,23.12,1.48
3,2026-07-05,Micron vs Samsung Electronics,-1.96,-0.14,Samsung Electronics le saca 2.0 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=-0.1).,18.66,0.96
4,2026-07-05,TSMC (Taiwán) vs UMC (ADR),-15.93,-1.11,UMC (ADR) le saca 15.9 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.1).,-22.27,-1.66
5,2026-07-05,ASML (ADR) vs Tokyo Electron,-6.08,-0.68,Tokyo Electron le saca 6.1 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.7).,-14.33,-1.4
6,2026-07-05,BHP Group vs Freeport-McMoRan,4.62,0.63,BHP Group le saca 4.6 pp de rendimiento propio 20d a Freeport-McMoRan (limpiado de índice local y moneda) — inusual vs su historia (z=+0.6).,4.52,0.63
7,2026-07-08,SK Hynix vs Micron,1.11,0.12,SK Hynix le saca 1.1 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=+0.1).,-3.62,-0.35
8,2026-07-08,SK Hynix vs Samsung Electronics,6.66,0.61,SK Hynix le saca 6.7 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.6).,9.77,0.4
9,2026-07-08,Micron vs Samsung Electronics,5.56,0.35,Micron le saca 5.6 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.4).,13.39,0.6
10,2026-07-08,TSMC (Taiwán) vs UMC (ADR),-19.21,-1.33,UMC (ADR) le saca 19.2 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.3).,-23.12,-1.71
11,2026-07-08,ASML (ADR) vs Tokyo Electron,-5.1,-0.44,Tokyo Electron le saca 5.1 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.4).,-5.49,-0.47
12,2026-07-08,BHP Group vs Freeport-McMoRan,3.79,0.51,BHP Group le saca 3.8 pp de rendimiento propio 20d a Freeport-McMoRan (limpiado de índice local y moneda) — inusual vs su historia (z=+0.5).,1.77,0.27
13,2026-07-09,SK Hynix vs Micron,-2.52,-0.23,Micron le saca 2.5 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.2).,5.78,0.55
14,2026-07-09,SK Hynix vs Samsung Electronics,8.92,0.82,SK Hynix le saca 8.9 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.8).,11.21,0.51
15,2026-07-09,Micron vs Samsung Electronics,-2.74,-0.19,Samsung Electronics le saca 2.7 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=-0.2).,5.43,0.05
16,2026-07-09,TSMC (Taiwán) vs UMC (ADR),-20.57,-1.42,UMC (ADR) le saca 20.6 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.4).,-16.51,-1.22
17,2026-07-09,ASML (ADR) vs Tokyo Electron,-1.97,-0.24,Tokyo Electron le saca 2.0 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.2).,-15.83,-1.54
18,2026-07-09,BHP Group vs Freeport-McMoRan,0.6,0.08,BHP Group le saca 0.6 pp de rendimiento propio 20d a Freeport-McMoRan (limpiado de índice local y moneda) — inusual vs su historia (z=+0.1).,-0.44,-0.01
19,2026-07-13,SK Hynix vs Micron,12.57,1.03,SK Hynix le saca 12.6 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.0).,-4.83,-0.47
20,2026-07-13,SK Hynix vs Samsung Electronics,13.62,1.25,SK Hynix le saca 13.6 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+1.2).,5.16,0.03
