fecha,creado_en,regimen,roca_chip,timestamp_utc,origen,modelo_version,feature_version,universo_version,ventana_betas
2026-07-04,2026-07-04T19:27:21.363193+00:00,Alcista · vol alta,49.0,,,,,,
2026-07-05,2026-07-05T10:06:05.192529+00:00,Alcista · vol alta,46.0,2026-07-05T10:06:05.192529+00:00,manual,4.6.0,4.6.0,4.6.0,120.0
2026-07-08,2026-07-08T22:17:01.843894+00:00,Alcista · vol alta,35.0,2026-07-08T22:17:01.843894+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-09,2026-07-09T22:24:55.319537+00:00,Alcista · vol alta,51.0,2026-07-09T22:24:55.319537+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-13,2026-07-13T22:27:05.085662+00:00,Alcista · vol alta,8.0,2026-07-13T22:27:05.085662+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-14,2026-07-14T22:15:05.671307+00:00,Alcista · vol alta,20.0,2026-07-14T22:15:05.671307+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-15,2026-07-15T22:27:00.799412+00:00,Alcista · vol alta,28.0,2026-07-15T22:27:00.799412+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-16,2026-07-16T22:15:05.140824+00:00,Alcista · vol alta,5.0,2026-07-16T22:15:05.140824+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-17,2026-07-17T22:15:06.357065+00:00,Alcista · vol alta,2.0,2026-07-17T22:15:06.357065+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-20,2026-07-20T22:26:07.923643+00:00,,2.0,2026-07-20T22:26:07.923643+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-21,2026-07-21T22:25:50.552049+00:00,Alcista · vol alta,13.0,2026-07-21T22:25:50.552049+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-22,2026-07-22T22:22:15.524316+00:00,Alcista · vol alta,22.0,2026-07-22T22:22:15.524316+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-23,2026-07-23T22:27:41.336223+00:00,,5.0,2026-07-23T22:27:41.336223+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
2026-07-24,2026-07-24T22:15:06.085758+00:00,Alcista · vol alta,5.0,2026-07-24T22:15:06.085758+00:00,programado,4.6.0,4.6.0,4.6.0,120.0
