id,fecha_senal,ticker,apertura_estimada_pct,retorno_real_pct,acierto_direccion,error_pp,verificado_en,gap_pct,acierto_gap,error_gap_pp,modelo_version,legacy
1,2026-07-05,000660.KS,-4.88,-3.3814,1,1.4986,2026-07-08T22:57:55.966843+00:00,1.0309,0,5.9109,4.6.0,0
2,2026-07-05,005930.KS,-3.91,2.7464,0,6.6564,2026-07-08T22:57:56.391613+00:00,3.3926,0,7.3026,4.6.0,0
3,2026-07-05,2330.TW,-2.04,0.6135,0,2.6535,2026-07-08T22:57:56.843068+00:00,0.818,0,2.858,4.6.0,0
4,2026-07-05,3436.T,-3.78,1.5116,0,5.2916,2026-07-08T22:57:57.273765+00:00,-0.1178,1,3.6622,4.6.0,0
5,2026-07-05,4063.T,-1.88,6.568,0,8.448,2026-07-08T22:57:57.743440+00:00,1.4372,0,3.3172,4.6.0,0
6,2026-07-05,6857.T,-3.71,0.7497,0,4.4597,2026-07-08T22:57:58.228290+00:00,1.7039,0,5.4139,4.6.0,0
7,2026-07-05,8035.T,-3.15,-1.2022,1,1.9478,2026-07-08T22:57:58.751137+00:00,1.2158,0,4.3658,4.6.0,0
8,2026-07-05,IFX.DE,-0.39,-0.2197,1,0.1703,2026-07-08T22:57:59.181989+00:00,-1.6929,1,1.3029,4.6.0,0
9,2026-07-08,000660.KS,1.97,5.2987,1,3.3287,2026-07-09T23:08:02.776768+00:00,7.3218,1,5.3518,4.6.0,0
10,2026-07-08,005930.KS,1.53,0.1802,1,1.3498,2026-07-09T23:08:03.367176+00:00,3.964,1,2.434,4.6.0,0
11,2026-07-08,2330.TW,0.78,-2.0284,0,2.8084,2026-07-09T23:08:03.958397+00:00,-0.6085,0,1.3885,4.6.0,0
12,2026-07-08,3436.T,1.45,0.8209,1,0.6291,2026-07-09T23:08:04.550629+00:00,3.6166,1,2.1666,4.6.0,0
13,2026-07-08,4063.T,0.7,1.3006,1,0.6006,2026-07-09T23:08:05.081695+00:00,-0.289,0,0.989,4.6.0,0
14,2026-07-08,6857.T,1.49,5.8631,1,4.3731,2026-07-09T23:08:05.721122+00:00,4.9192,1,3.4292,4.6.0,0
15,2026-07-08,8035.T,1.29,5.5085,1,4.2185,2026-07-09T23:08:06.303177+00:00,3.7862,1,2.4962,4.6.0,0
16,2026-07-08,IFX.DE,0.15,4.3385,1,4.1885,2026-07-13T23:08:15.191823+00:00,3.798,1,3.648,4.6.0,0
17,2026-07-09,000660.KS,2.73,-0.2745,0,3.0045,2026-07-13T23:08:16.642857+00:00,5.032,1,2.302,4.6.0,0
18,2026-07-09,005930.KS,2.11,2.518,1,0.408,2026-07-13T23:08:17.043643+00:00,4.6763,1,2.5663,4.6.0,0
19,2026-07-09,2330.TW,1.06,0.0,1,1.06,2026-07-13T23:08:17.488426+00:00,0.0,1,1.06,4.6.0,0
20,2026-07-09,3436.T,1.98,15.4049,1,13.4249,2026-07-13T23:08:17.907122+00:00,6.162,1,4.182,4.6.0,0
21,2026-07-09,4063.T,0.96,4.4223,1,3.4623,2026-07-13T23:08:18.366118+00:00,3.495,1,2.535,4.6.0,0
22,2026-07-09,6857.T,2.06,2.2977,1,0.2377,2026-07-13T23:08:18.796943+00:00,3.4294,1,1.3694,4.6.0,0
23,2026-07-09,8035.T,1.79,2.6457,1,0.8557,2026-07-13T23:08:19.317381+00:00,2.5894,1,0.7994,4.6.0,0
24,2026-07-09,IFX.DE,0.22,-1.1861,0,1.4061,2026-07-13T23:08:19.772757+00:00,-2.454,0,2.674,4.6.0,0
25,2026-07-13,2330.TW,-1.62,-0.8197,1,0.8003,2026-07-14T22:15:15.622032+00:00,-1.2295,1,0.3905,4.6.0,0
26,2026-07-13,4063.T,-1.54,1.7847,0,3.3247,2026-07-14T22:15:16.123427+00:00,-0.6131,1,0.9269,4.6.0,0
27,2026-07-13,6857.T,-3.22,3.3137,0,6.5337,2026-07-14T22:15:16.598949+00:00,-1.7349,1,1.4851,4.6.0,0
28,2026-07-13,IFX.DE,-0.35,2.0605,0,2.4105,2026-07-15T23:39:16.712687+00:00,-0.9237,1,0.5737,4.6.0,0
29,2026-07-14,000660.KS,2.19,8.8343,1,6.6443,2026-07-15T23:39:17.396834+00:00,10.8207,1,8.6307,4.6.0,0
30,2026-07-14,2330.TW,0.86,0.8264,1,0.0336,2026-07-15T23:46:30.027694+00:00,0.2066,1,0.6534,4.6.0,0
31,2026-07-14,3436.T,1.68,-4.3904,0,6.0704,2026-07-15T23:46:33.700992+00:00,1.1871,1,0.4929,4.6.0,0
32,2026-07-14,4063.T,0.79,2.9313,1,2.1413,2026-07-15T23:46:34.189686+00:00,1.4857,1,0.6957,4.6.0,0
33,2026-07-14,6857.T,1.65,5.827,1,4.177,2026-07-15T23:46:34.655656+00:00,1.3602,1,0.2898,4.6.0,0
34,2026-07-14,8035.T,1.48,4.3723,1,2.8923,2026-07-15T23:46:35.124253+00:00,1.0825,1,0.3975,4.6.0,0
35,2026-07-14,005930.KS,1.69,6.2738,1,4.5838,2026-07-16T22:15:15.449966+00:00,7.7947,1,6.1047,4.6.0,0
36,2026-07-14,IFX.DE,0.19,-6.2796,0,6.4696,2026-07-16T22:15:16.001354+00:00,1.1139,1,0.9239,4.6.0,0
37,2026-07-15,000660.KS,-1.82,-11.5274,1,9.7074,2026-07-16T22:15:16.595824+00:00,-8.6455,1,6.8255,4.6.0,0
38,2026-07-15,005930.KS,-1.42,-8.7657,1,7.3457,2026-07-16T22:15:17.097100+00:00,-5.3667,1,3.9467,4.6.0,0
39,2026-07-15,2330.TW,-0.69,1.2295,0,1.9195,2026-07-16T22:15:17.606319+00:00,-0.4098,1,0.2802,4.6.0,0
40,2026-07-15,3436.T,-1.34,-9.0658,1,7.7258,2026-07-16T22:15:18.102963+00:00,-5.4001,1,4.0601,4.6.0,0
41,2026-07-15,4063.T,-0.65,-4.2783,1,3.6283,2026-07-16T22:15:18.665619+00:00,-3.1079,1,2.4579,4.6.0,0
42,2026-07-15,6857.T,-1.37,-5.9346,1,4.5646,2026-07-16T22:15:19.223383+00:00,-2.6658,1,1.2958,4.6.0,0
43,2026-07-15,8035.T,-1.22,-4.5124,1,3.2924,2026-07-16T22:15:19.843011+00:00,-4.0409,1,2.8209,4.6.0,0
44,2026-07-15,IFX.DE,-0.15,-3.8627,1,3.7127,2026-07-17T22:15:16.645949+00:00,0.1337,0,0.2837,4.6.0,0
45,2026-07-16,2330.TW,-1.42,-7.2874,1,5.8674,2026-07-17T22:15:18.430371+00:00,-3.8462,1,2.4262,4.6.0,0
46,2026-07-16,3436.T,-2.82,-15.1712,1,12.3512,2026-07-17T22:15:18.911823+00:00,-1.5171,1,1.3029,4.6.0,0
47,2026-07-16,4063.T,-1.37,-2.7714,1,1.4014,2026-07-17T22:15:19.396284+00:00,-2.0514,1,0.6814,4.6.0,0
48,2026-07-16,6857.T,-2.85,-7.2031,1,4.3531,2026-07-17T22:15:19.869533+00:00,-5.0607,1,2.2107,4.6.0,0
49,2026-07-16,8035.T,-2.55,-8.1676,1,5.6176,2026-07-17T22:15:20.522765+00:00,-5.4874,1,2.9374,4.6.0,0
50,2026-07-16,IFX.DE,-0.23,-1.6226,1,1.3926,2026-07-20T22:47:23.250453+00:00,-5.5324,1,5.3024,4.6.0,0
51,2026-07-17,000660.KS,-1.44,-4.2345,1,2.7945,2026-07-20T22:47:23.772102+00:00,-5.266,1,3.826,4.6.0,0
52,2026-07-17,005930.KS,-1.12,-4.3137,1,3.1937,2026-07-20T22:47:24.351898+00:00,-5.4902,1,4.3702,4.6.0,0
53,2026-07-17,2330.TW,-0.58,1.31,0,1.89,2026-07-20T22:47:25.036851+00:00,0.4367,0,1.0167,4.6.0,0
54,2026-07-17,3436.T,-1.15,-0.3577,1,0.7923,2026-07-21T23:02:22.228650+00:00,0.0255,0,1.1755,4.6.0,0
55,2026-07-17,4063.T,-0.53,0.6707,0,1.2007,2026-07-21T23:02:23.152479+00:00,0.6707,0,1.2007,4.6.0,0
56,2026-07-17,6857.T,-1.11,7.7259,0,8.8359,2026-07-21T23:02:24.386306+00:00,1.8179,0,2.9279,4.6.0,0
57,2026-07-17,8035.T,-1.01,2.2581,0,3.2681,2026-07-21T23:02:25.278943+00:00,-1.1521,1,0.1421,4.6.0,0
58,2026-07-17,IFX.DE,-0.1,0.5341,0,0.6341,2026-07-21T23:02:26.358667+00:00,0.8483,0,0.9483,4.6.0,0
59,2026-07-21,005930.KS,3.63,0.5792,1,3.0508,2026-07-22T23:01:44.281475+00:00,6.5637,1,2.9337,4.6.0,0
60,2026-07-21,3436.T,3.65,-2.9487,0,6.5987,2026-07-22T23:01:45.141503+00:00,5.1026,1,1.4526,4.6.0,0
61,2026-07-21,4063.T,1.69,-1.8043,0,3.4943,2026-07-22T23:01:46.076642+00:00,0.3886,1,1.3014,4.6.0,0
62,2026-07-21,6857.T,3.6,-0.1519,0,3.7519,2026-07-22T23:01:47.204511+00:00,4.2187,1,0.6187,4.6.0,0
63,2026-07-21,8035.T,3.23,-0.9163,0,4.1463,2026-07-22T23:01:47.955493+00:00,4.5065,1,1.2765,4.6.0,0
64,2026-07-21,000660.KS,4.64,-0.3268,0,4.9668,2026-07-23T23:19:34.260829+00:00,7.6797,1,3.0397,4.6.0,0
65,2026-07-22,000660.KS,0.38,4.8634,1,4.4834,2026-07-23T23:19:35.245563+00:00,4.3716,1,3.9916,4.6.0,0
66,2026-07-22,005930.KS,0.3,3.6468,1,3.3468,2026-07-23T23:19:35.939094+00:00,3.263,1,2.963,4.6.0,0
67,2026-07-22,2330.TW,0.15,0.2083,1,0.0583,2026-07-23T23:19:36.667724+00:00,-0.625,0,0.775,4.6.0,0
68,2026-07-22,3436.T,0.3,-1.0832,0,1.3832,2026-07-23T23:19:37.363132+00:00,4.8877,1,4.5877,4.6.0,0
69,2026-07-22,4063.T,0.14,-1.4841,0,1.6241,2026-07-23T23:19:38.088729+00:00,1.4841,1,1.3441,4.6.0,0
70,2026-07-22,6857.T,0.3,4.1068,1,3.8068,2026-07-23T23:19:38.899159+00:00,3.5322,1,3.2322,4.6.0,0
