fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-07-27,000660.KS,0,0.82,-2.232263877463078,-1.83,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,005930.KS,1,0.66,-2.232263877463078,-1.47,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,2330.TW,2,0.34,-2.232263877463078,-0.76,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,3436.T,3,0.65,-2.232263877463078,-1.45,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,4063.T,4,0.36,-2.232263877463078,-0.79,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,6857.T,5,0.65,-2.232263877463078,-1.46,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,8035.T,6,0.59,-2.232263877463078,-1.32,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-27,IFX.DE,7,0.08,-2.232263877463078,-0.18,-571,-2.230469,-2.232264,0.00179513,1,1,0
2026-07-28,000660.KS,0,0.84,-4.4804871709182725,-3.76,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,005930.KS,1,0.67,-4.4804871709182725,-3.0,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,2330.TW,2,0.34,-4.4804871709182725,-1.54,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,3436.T,3,0.68,-4.4804871709182725,-3.05,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,4063.T,4,0.36,-4.4804871709182725,-1.63,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,6857.T,5,0.67,-4.4804871709182725,-2.99,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,8035.T,6,0.61,-4.4804871709182725,-2.73,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-28,IFX.DE,7,0.1,-4.4804871709182725,-0.45,-1147,-4.480469,-4.480487,1.842e-05,1,1,0
2026-07-29,000660.KS,0,0.86,-5.337335106574171,-4.59,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,005930.KS,1,0.68,-5.337335106574171,-3.63,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,2330.TW,2,0.35,-5.337335106574171,-1.87,-1366,-5.335938,-5.337335,0.00139761,1,1,0
