fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-07-27,000660.KS,0,0.82,-2.232263877463078,-1.83,-647,-2.527344,-2.528039,0.00069509,1,1,0
2026-07-27,005930.KS,1,0.66,-2.232263877463078,-1.47,-538,-2.101562,-2.101118,0.00044413,1,1,0
2026-07-27,2330.TW,2,0.34,-2.232263877463078,-0.76,-337,-1.316406,-1.317036,0.00062944,1,1,0
2026-07-27,3436.T,3,0.65,-2.232263877463078,-1.45,-496,-1.9375,-1.939279,0.00177924,1,1,0
2026-07-27,4063.T,4,0.36,-2.232263877463078,-0.79,-313,-1.222656,-1.222164,0.00049178,1,1,0
2026-07-27,6857.T,5,0.65,-2.232263877463078,-1.46,-461,-1.800781,-1.799763,0.0010185,1,1,0
2026-07-27,8035.T,6,0.59,-2.232263877463078,-1.32,-409,-1.597656,-1.596069,0.00158758,1,1,0
2026-07-27,IFX.DE,7,0.08,-2.232263877463078,-0.18,-100,-0.390625,-0.387856,0.00276915,0,0,0
2026-07-28,000660.KS,0,0.84,-4.4804871709182725,-3.76,-1073,-4.191406,-4.187146,0.00426023,1,1,0
2026-07-28,005930.KS,1,0.67,-4.4804871709182725,-3.0,-842,-3.289062,-3.285448,0.00361453,1,1,0
2026-07-28,2330.TW,2,0.34,-4.4804871709182725,-1.54,-427,-1.667969,-1.666872,0.00109677,1,1,0
2026-07-28,3436.T,3,0.68,-4.4804871709182725,-3.05,-799,-3.121094,-3.119981,0.00111311,1,1,0
2026-07-28,4063.T,4,0.36,-4.4804871709182725,-1.63,-414,-1.617188,-1.615968,0.00121973,1,1,0
2026-07-28,6857.T,5,0.67,-4.4804871709182725,-2.99,-752,-2.9375,-2.934662,0.00283818,1,1,0
2026-07-28,8035.T,6,0.61,-4.4804871709182725,-2.73,-665,-2.597656,-2.595576,0.00208064,1,1,0
2026-07-28,IFX.DE,7,0.1,-4.4804871709182725,-0.45,-62,-0.242188,-0.24027,0.00191733,0,0,0
2026-07-29,000660.KS,0,0.86,-5.337335106574171,-4.59,-1065,-4.160156,-4.158296,0.00186047,1,1,0
2026-07-29,005930.KS,1,0.68,-5.337335106574171,-3.63,-794,-3.101562,-3.100542,0.00102051,1,1,0
2026-07-29,2330.TW,2,0.35,-5.337335106574171,-1.87,-318,-1.242188,-1.242188,4.3e-07,1,1,0
2026-07-29,3436.T,3,0.69,-5.337335106574171,-3.68,-776,-3.03125,-3.030105,0.00114464,1,1,0
2026-07-29,4063.T,4,0.37,-5.337335106574171,-1.99,-332,-1.296875,-1.295382,0.00149337,1,1,0
2026-07-29,6857.T,5,0.66,-5.337335106574171,-3.5,-721,-2.816406,-2.816432,2.607e-05,1,1,0
2026-07-29,8035.T,6,0.63,-5.337335106574171,-3.38,-673,-2.628906,-2.629536,0.00062951,1,1,0
2026-07-29,IFX.DE,7,0.11,-5.337335106574171,-0.58,44,0.171875,0.172655,0.00077999,0,0,0
2026-07-30,000660.KS,0,0.84,8.218909642401021,6.91,3094,12.085938,12.087408,0.00147042,2,2,0
2026-07-30,005930.KS,1,0.64,8.218909642401021,5.28,2572,10.046875,10.04677,0.00010516,2,2,0
2026-07-30,2330.TW,2,0.34,8.218909642401021,2.8,1839,7.183594,7.184241,0.00064705,2,2,0
2026-07-30,3436.T,3,0.68,8.218909642401021,5.59,2446,9.554688,9.555037,0.00034993,2,2,0
2026-07-30,4063.T,4,0.35,8.218909642401021,2.85,1643,6.417969,6.419165,0.00119585,2,2,0
2026-07-30,6857.T,5,0.57,8.218909642401021,4.68,1997,7.800781,7.803692,0.00291082,2,2,0
2026-07-30,8035.T,6,0.59,8.218909642401021,4.83,1931,7.542969,7.544438,0.00146887,2,2,0
2026-07-30,IFX.DE,7,0.13,8.218909642401021,1.09,854,3.335938,3.340107,0.00416903,2,2,0
2026-07-31,000660.KS,0,0.98,0.07446972262414187,0.07,-811,-3.167969,-3.165937,0.00203134,1,1,0
2026-07-31,005930.KS,1,0.77,0.07446972262414187,0.06,-858,-3.351562,-3.350695,0.00086755,1,1,0
2026-07-31,2330.TW,2,0.38,0.07446972262414187,0.03,-909,-3.550781,-3.548857,0.00192421,1,1,0
2026-07-31,3436.T,3,0.77,0.07446972262414187,0.06,-836,-3.265625,-3.2653,0.0003249,1,1,0
2026-07-31,4063.T,4,0.36,0.07446972262414187,0.03,-779,-3.042969,-3.041319,0.00164981,1,1,0
2026-07-31,6857.T,5,0.66,0.07446972262414187,0.05,-708,-2.765625,-2.764464,0.00116072,1,1,0
2026-07-31,8035.T,6,0.62,0.07446972262414187,0.04,-644,-2.515625,-2.512929,0.00269568,1,1,0
2026-07-31,IFX.DE,7,0.09,0.07446972262414187,0.01,-589,-2.300781,-2.297885,0.00289672,1,1,0
2026-08-03,2330.TW,2,0.38,1.0607412491420727,0.4,48,0.1875,0.188301,0.00080096,0,0,0
